Average expenses and percentage distribution	Expenditure quintile	Expenditure codes (2 digits)	Period	Total
Distribution (horizontal percentages)	Quintile 4	04 Housing, water, electricity, gas and other fuels	2018	22.21
Distribution (horizontal percentages)	Quintile 4	04 Housing, water, electricity, gas and other fuels	2017	21.96
Distribution (horizontal percentages)	Quintile 4	04 Housing, water, electricity, gas and other fuels	2016	22.19
Distribution (horizontal percentages)	Quintile 4	04 Housing, water, electricity, gas and other fuels	2015	22.76
Distribution (horizontal percentages)	Quintile 4	04 Housing, water, electricity, gas and other fuels	2014	22.73
Distribution (horizontal percentages)	Quintile 4	04 Housing, water, electricity, gas and other fuels	2013	22.51
Distribution (horizontal percentages)	Quintile 4	04 Housing, water, electricity, gas and other fuels	2012	22.55
Distribution (horizontal percentages)	Quintile 4	04 Housing, water, electricity, gas and other fuels	2011	22.73
Distribution (horizontal percentages)	Quintile 4	04 Housing, water, electricity, gas and other fuels	2010	22.40
Distribution (horizontal percentages)	Quintile 4	04 Housing, water, electricity, gas and other fuels	2009	22.40
Distribution (horizontal percentages)	Quintile 4	04 Housing, water, electricity, gas and other fuels	2008	23.08
Distribution (horizontal percentages)	Quintile 4	04 Housing, water, electricity, gas and other fuels	2007	22.37
Distribution (horizontal percentages)	Quintile 4	04 Housing, water, electricity, gas and other fuels	2006	23.24
Distribution (horizontal percentages)	Quintile 4	05 Furnishings, household equipment and routine household maintenance	2023	22.18
Distribution (horizontal percentages)	Quintile 4	05 Furnishings, household equipment and routine household maintenance	2022	23.82
Distribution (horizontal percentages)	Quintile 4	05 Furnishings, household equipment and routine household maintenance	2021	22.82
Distribution (horizontal percentages)	Quintile 4	05 Furnishings, household equipment and routine household maintenance	2020	23.06
Distribution (horizontal percentages)	Quintile 4	05 Furnishings, household equipment and routine household maintenance	2019	22.82
Distribution (horizontal percentages)	Quintile 4	05 Furnishings, household equipment and routine household maintenance	2018	22.73
Distribution (horizontal percentages)	Quintile 4	05 Furnishings, household equipment and routine household maintenance	2017	22.91
Distribution (horizontal percentages)	Quintile 4	05 Furnishings, household equipment and routine household maintenance	2016	23.42
Distribution (horizontal percentages)	Quintile 4	05 Furnishings, household equipment and routine household maintenance	2015	23.22
Distribution (horizontal percentages)	Quintile 4	05 Furnishings, household equipment and routine household maintenance	2014	23.08
Distribution (horizontal percentages)	Quintile 4	05 Furnishings, household equipment and routine household maintenance	2013	22.25
Distribution (horizontal percentages)	Quintile 4	05 Furnishings, household equipment and routine household maintenance	2012	22.30
Distribution (horizontal percentages)	Quintile 4	05 Furnishings, household equipment and routine household maintenance	2011	21.97
Distribution (horizontal percentages)	Quintile 4	05 Furnishings, household equipment and routine household maintenance	2010	23.23
Distribution (horizontal percentages)	Quintile 4	05 Furnishings, household equipment and routine household maintenance	2009	23.28
Distribution (horizontal percentages)	Quintile 4	05 Furnishings, household equipment and routine household maintenance	2008	23.07
Distribution (horizontal percentages)	Quintile 4	05 Furnishings, household equipment and routine household maintenance	2007	22.65
Distribution (horizontal percentages)	Quintile 4	05 Furnishings, household equipment and routine household maintenance	2006	23.27
Distribution (horizontal percentages)	Quintile 4	06 Health	2023	24.89
Distribution (horizontal percentages)	Quintile 4	06 Health	2022	23.60
Distribution (horizontal percentages)	Quintile 4	06 Health	2021	23.50
Distribution (horizontal percentages)	Quintile 4	06 Health	2020	25.29
Distribution (horizontal percentages)	Quintile 4	06 Health	2019	25.07
Distribution (horizontal percentages)	Quintile 4	06 Health	2018	24.82
Distribution (horizontal percentages)	Quintile 4	06 Health	2017	25.14
Distribution (horizontal percentages)	Quintile 4	06 Health	2016	24.42
Distribution (horizontal percentages)	Quintile 4	06 Health	2015	23.55
Distribution (horizontal percentages)	Quintile 4	06 Health	2014	23.60
Distribution (horizontal percentages)	Quintile 4	06 Health	2013	22.09
Distribution (horizontal percentages)	Quintile 4	06 Health	2012	21.69
Distribution (horizontal percentages)	Quintile 4	06 Health	2011	23.69
Distribution (horizontal percentages)	Quintile 4	06 Health	2010	22.87
Distribution (horizontal percentages)	Quintile 4	06 Health	2009	23.68
Distribution (horizontal percentages)	Quintile 4	06 Health	2008	23.31
Distribution (horizontal percentages)	Quintile 4	06 Health	2007	22.75
Distribution (horizontal percentages)	Quintile 4	06 Health	2006	24.13
Distribution (horizontal percentages)	Quintile 4	07 Transport	2023	22.63
Distribution (horizontal percentages)	Quintile 4	07 Transport	2022	22.41
Distribution (horizontal percentages)	Quintile 4	07 Transport	2021	21.76
Distribution (horizontal percentages)	Quintile 4	07 Transport	2020	21.66
Distribution (horizontal percentages)	Quintile 4	07 Transport	2019	23.50
Distribution (horizontal percentages)	Quintile 4	07 Transport	2018	22.93
Distribution (horizontal percentages)	Quintile 4	07 Transport	2017	23.00
Distribution (horizontal percentages)	Quintile 4	07 Transport	2016	22.34
Distribution (horizontal percentages)	Quintile 4	07 Transport	2015	22.38
Distribution (horizontal percentages)	Quintile 4	07 Transport	2014	22.58
Distribution (horizontal percentages)	Quintile 4	07 Transport	2013	22.71
Distribution (horizontal percentages)	Quintile 4	07 Transport	2012	22.92
Distribution (horizontal percentages)	Quintile 4	07 Transport	2011	22.56
Distribution (horizontal percentages)	Quintile 4	07 Transport	2010	23.35
Distribution (horizontal percentages)	Quintile 4	07 Transport	2009	22.48
Distribution (horizontal percentages)	Quintile 4	07 Transport	2008	22.72
Distribution (horizontal percentages)	Quintile 4	07 Transport	2007	22.67
Distribution (horizontal percentages)	Quintile 4	07 Transport	2006	23.88
Distribution (horizontal percentages)	Quintile 4	08 Communication	2023	22.15
Distribution (horizontal percentages)	Quintile 4	08 Communication	2022	21.69
Distribution (horizontal percentages)	Quintile 4	08 Communication	2021	21.97
Distribution (horizontal percentages)	Quintile 4	08 Communication	2020	21.75
Distribution (horizontal percentages)	Quintile 4	08 Communication	2019	22.66
Distribution (horizontal percentages)	Quintile 4	08 Communication	2018	22.69
Distribution (horizontal percentages)	Quintile 4	08 Communication	2017	22.26
Distribution (horizontal percentages)	Quintile 4	08 Communication	2016	22.38
Distribution (horizontal percentages)	Quintile 4	08 Communication	2015	22.36
Distribution (horizontal percentages)	Quintile 4	08 Communication	2014	22.57
Distribution (horizontal percentages)	Quintile 4	08 Communication	2013	22.68
Distribution (horizontal percentages)	Quintile 4	08 Communication	2012	22.88
Distribution (horizontal percentages)	Quintile 4	08 Communication	2011	23.06
Distribution (horizontal percentages)	Quintile 4	08 Communication	2010	23.40
Distribution (horizontal percentages)	Quintile 4	08 Communication	2009	23.35
Distribution (horizontal percentages)	Quintile 4	08 Communication	2008	23.29
Distribution (horizontal percentages)	Quintile 4	08 Communication	2007	23.57
Distribution (horizontal percentages)	Quintile 4	08 Communication	2006	24.24
Distribution (horizontal percentages)	Quintile 4	09 Recreation and culture	2023	22.99
Distribution (horizontal percentages)	Quintile 4	09 Recreation and culture	2022	24.02
Distribution (horizontal percentages)	Quintile 4	09 Recreation and culture	2021	24.26
Distribution (horizontal percentages)	Quintile 4	09 Recreation and culture	2020	24.35
Distribution (horizontal percentages)	Quintile 4	09 Recreation and culture	2019	26.23
Distribution (horizontal percentages)	Quintile 4	09 Recreation and culture	2018	25.71
Distribution (horizontal percentages)	Quintile 4	09 Recreation and culture	2017	25.17
Distribution (horizontal percentages)	Quintile 4	09 Recreation and culture	2016	25.60
Distribution (horizontal percentages)	Quintile 4	09 Recreation and culture	2015	24.58
Distribution (horizontal percentages)	Quintile 4	09 Recreation and culture	2014	24.94
Distribution (horizontal percentages)	Quintile 4	09 Recreation and culture	2013	23.83
Distribution (horizontal percentages)	Quintile 4	09 Recreation and culture	2012	23.91
Distribution (horizontal percentages)	Quintile 4	09 Recreation and culture	2011	24.55
Distribution (horizontal percentages)	Quintile 4	09 Recreation and culture	2010	25.37
Distribution (horizontal percentages)	Quintile 4	09 Recreation and culture	2009	24.25
Distribution (horizontal percentages)	Quintile 4	09 Recreation and culture	2008	24.91
Distribution (horizontal percentages)	Quintile 4	09 Recreation and culture	2007	24.94
Distribution (horizontal percentages)	Quintile 4	09 Recreation and culture	2006	25.81
Distribution (horizontal percentages)	Quintile 4	10 Education	2023	23.74
Distribution (horizontal percentages)	Quintile 4	10 Education	2022	25.52
Distribution (horizontal percentages)	Quintile 4	10 Education	2021	25.33
Distribution (horizontal percentages)	Quintile 4	10 Education	2020	25.51
Distribution (horizontal percentages)	Quintile 4	10 Education	2019	26.94
Distribution (horizontal percentages)	Quintile 4	10 Education	2018	27.78
Distribution (horizontal percentages)	Quintile 4	10 Education	2017	25.98
Distribution (horizontal percentages)	Quintile 4	10 Education	2016	25.52
Distribution (horizontal percentages)	Quintile 4	10 Education	2015	26.13
Distribution (horizontal percentages)	Quintile 4	10 Education	2014	26.12
Distribution (horizontal percentages)	Quintile 4	10 Education	2013	23.89
Distribution (horizontal percentages)	Quintile 4	10 Education	2012	27.54
Distribution (horizontal percentages)	Quintile 4	10 Education	2011	25.89
Distribution (horizontal percentages)	Quintile 4	10 Education	2010	25.90
Distribution (horizontal percentages)	Quintile 4	10 Education	2009	24.26
Distribution (horizontal percentages)	Quintile 4	10 Education	2008	27.25
Distribution (horizontal percentages)	Quintile 4	10 Education	2007	24.82
Distribution (horizontal percentages)	Quintile 4	10 Education	2006	26.59
Distribution (horizontal percentages)	Quintile 4	11 Restaurants and hotels	2023	25.19
Distribution (horizontal percentages)	Quintile 4	11 Restaurants and hotels	2022	24.92
Distribution (horizontal percentages)	Quintile 4	11 Restaurants and hotels	2021	24.91
Distribution (horizontal percentages)	Quintile 4	11 Restaurants and hotels	2020	25.40
Distribution (horizontal percentages)	Quintile 4	11 Restaurants and hotels	2019	25.62
Distribution (horizontal percentages)	Quintile 4	11 Restaurants and hotels	2018	25.48
Distribution (horizontal percentages)	Quintile 4	11 Restaurants and hotels	2017	24.76
Distribution (horizontal percentages)	Quintile 4	11 Restaurants and hotels	2016	25.90
Distribution (horizontal percentages)	Quintile 4	11 Restaurants and hotels	2015	25.03
Distribution (horizontal percentages)	Quintile 4	11 Restaurants and hotels	2014	25.14
Distribution (horizontal percentages)	Quintile 4	11 Restaurants and hotels	2013	24.88
Distribution (horizontal percentages)	Quintile 4	11 Restaurants and hotels	2012	25.02
Distribution (horizontal percentages)	Quintile 4	11 Restaurants and hotels	2011	24.78
Distribution (horizontal percentages)	Quintile 4	11 Restaurants and hotels	2010	25.01
Distribution (horizontal percentages)	Quintile 4	11 Restaurants and hotels	2009	24.25
Distribution (horizontal percentages)	Quintile 4	11 Restaurants and hotels	2008	24.23
Distribution (horizontal percentages)	Quintile 4	11 Restaurants and hotels	2007	24.53
Distribution (horizontal percentages)	Quintile 4	11 Restaurants and hotels	2006	24.56
Distribution (horizontal percentages)	Quintile 4	12 Other goods and services	2023	23.96
Distribution (horizontal percentages)	Quintile 4	12 Other goods and services	2022	23.91
Distribution (horizontal percentages)	Quintile 4	12 Other goods and services	2021	23.17
Distribution (horizontal percentages)	Quintile 4	12 Other goods and services	2020	22.42
Distribution (horizontal percentages)	Quintile 4	12 Other goods and services	2019	23.31
Distribution (horizontal percentages)	Quintile 4	12 Other goods and services	2018	23.20
Distribution (horizontal percentages)	Quintile 4	12 Other goods and services	2017	23.43
Distribution (horizontal percentages)	Quintile 4	12 Other goods and services	2016	23.55
Distribution (horizontal percentages)	Quintile 4	12 Other goods and services	2015	22.79
Distribution (horizontal percentages)	Quintile 4	12 Other goods and services	2014	22.70
Distribution (horizontal percentages)	Quintile 4	12 Other goods and services	2013	22.48
Distribution (horizontal percentages)	Quintile 4	12 Other goods and services	2012	22.75
Distribution (horizontal percentages)	Quintile 4	12 Other goods and services	2011	22.20
Distribution (horizontal percentages)	Quintile 4	12 Other goods and services	2010	22.83
