Type of data	Macroeconomic aggregates: Nivel 1	Macroeconomic aggregates: Nivel 2	Levels and rates	Period	Total
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2022QIV	11.0924
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2022QIII	3.1159
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2022QII	2.3081
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2022QI	-0.9592
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2021QIV	5.2583
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2021QIII	8.6571
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2021QII	-2.9973
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2021QI	3.5537
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2020QIV	-5.7224
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2020QIII	8.6642
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2020QII	-17.3984
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2020QI	22.8544
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2019QIV	-4.5558
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2019QIII	0.1369
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2019QII	-5.4602
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2019QI	-8.7381
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2018QIV	17.0568
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2018QIII	-0.1288
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2018QII	6.7702
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2018QI	3.6460
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2017QIV	-9.2849
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2017QIII	2.4709
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2017QII	11.2715
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2017QI	-8.6421
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2016QIV	7.3672
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2016QIII	-0.1032
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2016QII	2.6815
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2016QI	-1.8517
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2015QIV	0.5860
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2015QIII	0.4309
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2015QII	10.3176
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2015QI	-8.4094
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2014QIV	3.2562
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2014QIII	-3.2049
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2014QII	5.3909
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2014QI	17.8463
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2013QIV	-6.1131
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2013QIII	-8.8849
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2013QII	-3.9528
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2013QI	-0.1514
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2012QIV	-2.4061
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2012QIII	-12.8403
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2012QII	4.5686
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2012QI	3.1244
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2011QIV	3.7136
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2011QIII	1.3872
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2011QII	1.5248
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2011QI	-4.9708
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2010QIV	2.9951
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2010QIII	-5.7623
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2010QII	-10.6155
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2010QI	-11.6195
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2009QIV	-2.7536
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2009QIII	-3.6089
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2009QII	-8.4608
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2009QI	2.9512
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2008QIV	16.1403
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2008QIII	4.9078
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2008QII	-5.4640
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2008QI	-3.6387
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2007QIV	-0.0529
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2007QIII	23.4805
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2007QII	-2.2986
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2007QI	2.3814
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2006QIV	3.0408
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2006QIII	-5.5530
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2006QII	15.5171
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2006QI	0.6658
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2005QIV	1.7748
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2005QIII	0.6932
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2005QII	-2.5232
Seasonally and calendar adjusted data 	GVAbp Services activities (G-T NACE Rev. 2)	GVAbp Services activities. Financial and insurance activities (K, NACE Rev. 2)	Quarterly variation rate	2005QI	-0.0633
