"United Nations: Demographic Yearbook, Historical supplement - Nations Unies: Annuaire démographique, supplément rétrospectif",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"3. Population by age, sex, and urban/rural residence, each census: 1948-1997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Population selon l'âge, le sexe et la résidence, urbaine/rurale, chaque recensement: 1948-1997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

(See notes at end of table. - Voir notes à la fin du tableau.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"Continent, country or area,",,,,,Source[a],Code[b],Age (in years) - Age (en années),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"residence, sex and date",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"Continent, pays ou zone,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"résidence, sexe et date",,,,,,,All ages, -1,, 1-4,, 5-9,, 10-14,, 15-19,, 20-24,, 25-29,, 30-34,, 35-39,, 40-44,, 45-49,, 50-54,, 55-59,, 60-64,, 65-69,, 70-74,, 75-79,, 80-84,, 85-89,, 90-94,, 95-99,, 100+,,Unknown
,,,1 VII 1975,,Edf,C,776686,12358,,54447,,73783,,74428,,65594,,52747,,49796,,46541,,41945,,41076,,42202,,42615,,37571,,39240,,35113,,29090,,20466,,10994,,6680,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1976,,Edf,C,776493,12458,,52077,,72740,,74748,,67152,,54111,,49098,,47651,,41555,,40712,,42057,,41906,,38401,,38173,,35438,,29109,,21378,,11215,,6514,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1977,,Edf,C,776325,12189,,50318,,71314,,75000,,68490,,55882,,47683,,48870,,41742,,40819,,41535,,41313,,39389,,37139,,35570,,29486,,21547,,11665,,6374,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1978,,Edf,C,776940,12417,,48918,,69568,,74831,,69666,,57411,,47453,,48665,,43181,,40701,,41321,,40795,,40423,,35676,,35936,,29863,,21879,,12197,,6039,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1979,,Edf,C,780000,61700,[=>],[0-4],,67500,,74100,,71200,,59200,,48300,,48300,,44100,,41100,,40700,,40700,,41000,,35000,,36000,,30200,,22400,,12600,,5900,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1980,,Edf,C,783595,13569,,49408,,65126,,72480,,71415,,61537,,49253,,48098,,45366,,41112,,40088,,40766,,40621,,35205,,35873,,30377,,22750,,13650,,6901,[=>],[85+],,[85+],,[85+],,-
,,,5 IV 1981,,Cdf,C,756742,12022,,45951,,60334,,68836,,68806,,58307,,47873,,48034,,45509,,40357,,38241,,39559,,39444,,36380,,34891,,29308,,21349,,13307,,8234,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1982,,Edf,C,800000,13200,,52200,,63300,,70800,,71500,,62600,,52800,,49100,,49400,,42000,,40300,,40300,,40600,,39200,,35400,,31400,,22600,,14000,,9300,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1984,,Edf,C,805974,13147,,52810,,61835,,67605,,70556,,65529,,56311,,49130,,49600,,44834,,40771,,39669,,39738,,40241,,34052,,32363,,23818,,14528,,9437,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1985,,Edf,C,794526,13308,,52576,,62727,,65835,,68966,,64430,,56474,,49109,,48400,,45034,,40045,,38292,,38194,,37863,,32957,,31257,,24275,,14806,,9978,[=>],[85+],,[85+],,[85+],,-
,,Urban - Urbaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23 IV 1961,Cdf,C,770001,16526,,60391,,67928,,69614,,66023,,52814,,47071,,47015,,48913,,45682,,48047,,46383,,41344,,36822,,28338,,21092,,13873,,8027,,4098,[=>],[85+],,[85+],,[85+],,-
,,,,9 X 1966,Cdf,C,789881,82669,[=>],[0-4],,75488,,67962,,67556,,58712,,46443,,44013,,44957,,46726,,44335,,45132,,43360,,38612,,32162,,23272,,15179,,8460,,4843,[=>],[85+],,[85+],,[85+],,-
,,,Male - Masculin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23 IV 1961,Cdf,C,362552,8557,,30865,,34799,,35316,,32136,,25348,,22540,,22225,,22971,,21395,,22159,,21265,,18694,,15532,,11491,,7895,,5133,,2891,,1340,[=>],[85+],,[85+],,[85+],,-
,,,,9 X 1966,Cdf,C,373683,42533,[=>],[0-4],,38610,,34608,,33458,,28216,,22809,,21212,,21345,,22022,,20722,,20640,,19489,,16713,,12926,,8767,,5316,,2775,,1522,[=>],[85+],,[85+],,[85+],,-
,,,Female - Féminin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23 IV 1961,Cdf,C,407449,7969,,29526,,33129,,34298,,33887,,27466,,24531,,24790,,25942,,24287,,25888,,25118,,22650,,21290,,16847,,13197,,8740,,5136,,2758,[=>],[85+],,[85+],,[85+],,-
,,,,9 X 1966,Cdf,C,416198,40136,[=>],[0-4],,36878,,33354,,34098,,30496,,23634,,22801,,23612,,24704,,23613,,24492,,23871,,21899,,19236,,14505,,9863,,5685,,3321,[=>],[85+],,[85+],,[85+],,-
,,Rural - Rurale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23 IV 1961,Cdf,C,655041,14241,,55361,,64516,,63557,,54214,,40938,,38168,,39466,,42025,,39385,,38978,,35660,,31198,,28903,,23871,,18970,,13161,,8139,,4290,[=>],[85+],,[85+],,[85+],,-
,,,,9 X 1966,Cdf,C,694894,77857,[=>],[0-4],,70857,,64079,,58145,,47712,,41331,,39779,,39797,,41463,,39236,,38221,,34138,,30029,,25999,,19861,,13633,,7957,,4800,[=>],[85+],,[85+],,[85+],,-
,,,Male - Masculin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23 IV 1961,Cdf,C,331672,7317,,28615,,33297,,32814,,28151,,21527,,19078,,19357,,20941,,20238,,19939,,18328,,15663,,13903,,11513,,9087,,6204,,3839,,1861,[=>],[85+],,[85+],,[85+],,-
,,,,9 X 1966,Cdf,C,350201,40502,[=>],[0-4],,36500,,33112,,30014,,24189,,20631,,19918,,19512,,20708,,20148,,19511,,17486,,14583,,12345,,9310,,6227,,3509,,1996,[=>],[85+],,[85+],,[85+],,-
,,,Female - Féminin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23 IV 1961,Cdf,C,323369,6924,,26746,,31219,,30743,,26063,,19411,,19090,,20109,,21084,,19147,,19039,,17332,,15535,,15000,,12358,,9883,,6957,,4300,,2429,[=>],[85+],,[85+],,[85+],,-
,,,,9 X 1966,Cdf,C,344693,37355,[=>],[0-4],,34357,,30967,,28131,,23523,,20700,,19861,,20285,,20755,,19088,,18710,,16652,,15446,,13654,,10551,,7406,,4448,,2804,[=>],[85+],,[85+],,[85+],,-
,United Kingdom: Scotland - Royaume-Uni: Ecosse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 VII 1948,,Edf,C,5201200,100400,,363700,,404300,,399700,,396600,,403500,,384200,,345200,,388300,,369900,,347600,,294900,,265700,,228000,,193400,,148700,,97200,,50900,,19000,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1949,,Edf,C,5207000,94800,,377600,,405600,,401100,,393100,,399100,,397400,,325000,,382900,,370600,,353000,,298800,,264300,,231700,,191200,,149100,,99000,,52300,,20400,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1950,,Edf,C,5174459,91417,,388684,,408168,,400044,,387592,,391168,,382412,,313931,,369081,,368487,,352420,,303404,,270156,,229696,,193942,,146950,,102751,,51482,,22674,[=>],[85+],,[85+],,[85+],,-
,,,8 IV 1951,,Cdf,C,5096415,87628,,383136,,397782,,386491,,361828,,364089,,381170,,344881,,368480,,370129,,349538,,307953,,260657,,224694,,192151,,151326,,97746,,45849,,19823,[=>],[85+],,[85+],,[85+],,1064
,,,1 VII 1952,,Edf,C,5114178,85581,,364593,,427961,,383515,,365369,,348307,,370355,,356116,,345640,,376718,,357666,,319369,,265179,,228906,,196725,,153027,,101886,,47217,,20048,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1953,,Edf,C,5117612,86901,,350489,,441710,,387255,,360681,,356824,,365862,,372417,,334681,,369186,,352567,,324724,,266815,,229586,,193268,,151222,,103198,,48584,,21642,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1954,,Edf,C,5123336,88156,,343866,,449743,,389269,,360608,,350641,,363247,,383592,,316238,,366488,,356113,,329975,,271419,,231734,,194120,,151041,,104352,,50542,,22192,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1955,,Edf,C,5133292,88464,,342598,,457235,,389201,,362838,,345964,,361593,,369319,,324911,,365759,,355853,,332530,,279147,,235487,,192203,,151802,,103376,,52886,,22126,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1956,,Edf,C,5144578,91687,,343284,,461063,,392631,,360765,,342532,,358816,,360561,,335296,,355014,,357349,,332678,,289843,,236573,,193152,,152407,,103430,,54672,,22825,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1957,,Edf,C,5150020,91917,,349414,,437319,,418783,,360458,,338306,,353886,,352767,,345122,,340937,,358574,,333077,,297056,,239405,,195397,,152727,,104752,,56571,,23552,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1958,,Edf,C,5168992,95294,,354481,,425839,,431076,,366379,,340834,,351354,,348858,,358251,,323168,,356625,,335847,,303712,,241069,,197122,,153036,,104512,,57517,,24018,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1959,,Edf,C,5191660,96949,,361914,,421190,,439225,,372038,,343305,,347454,,347313,,370216,,305379,,354544,,339897,,308646,,245309,,198361,,153360,,104278,,57811,,24471,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1960,,Edf,C,5253723,95801,,370292,,419817,,446439,,379310,,364752,,349280,,349254,,358810,,316014,,355259,,340651,,311451,,252537,,202246,,151962,,105596,,57501,,26751,[=>],[85+],,[85+],,[85+],,-
,,,23 IV 1961,,Cdf,C,5179344,97839,,371397,,420726,,449136,,374132,,333003,,327008,,332471,,347338,,320472,,342634,,342215,,312528,,259537,,204550,,153869,,105370,,57890,,27229,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1961,,Edf,C,5226066,96891,,372279,,418977,,444992,,379349,,359135,,340386,,341840,,346286,,323892,,342952,,340980,,310680,,261734,,201895,,152645,,106046,,57315,,27792,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1962,,Edf,C,5197028,99164,,378063,,427390,,425759,,401276,,336705,,323469,,329006,,336658,,333448,,328093,,342050,,314426,,266700,,207533,,155151,,105512,,58427,,28198,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1963,,Edf,C,5204500,99604,,382148,,435099,,414408,,412432,,340936,,321620,,324070,,330765,,343819,,310991,,339893,,316095,,273882,,208815,,156837,,106157,,58114,,28815,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1964,,Edf,C,5206400,99119,,385132,,441797,,407432,,418676,,344315,,318720,,318452,,324626,,353075,,294882,,335869,,318913,,278491,,212455,,157880,,107769,,58898,,29899,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1965,,Edf,C,5203900,98896,,388396,,448647,,403722,,424771,,343308,,316629,,312029,,319217,,339103,,299772,,334341,,317914,,281298,,217054,,161265,,106886,,59939,,30713,[=>],[85+],,[85+],,[85+],,-
,,,24 IV 1966,,Sdf,C,5168210,95880,,380910,,445810,,410250,,419210,,325660,,308870,,307580,,321430,,332790,,307500,,328750,,319020,,281790,,224260,,162100,,106350,,59940,,30110,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1966,,Edf,C,5190800,93300,,389300,,454700,,405000,,427100,,348100,,310900,,301900,,312500,,328800,,307600,,324400,,319700,,282200,,223400,,162400,,107900,,60400,,31200,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1967,,Edf,C,5186600,94156,,767174,,461859,,410705,,404266,,373609,,308992,,294573,,306768,,318390,,317111,,311505,,319288,,283854,,228872,,165570,,109462,,61697,,32336,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1968,,Edf,C,5187500,91800,,378900,,466900,,418800,,393800,,386400,,312700,,292000,,301100,,311900,,326600,,294500,,317400,,285800,,235700,,166600,,111300,,62600,,32700,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1969,,Edf,C,5194700,90355,,372070,,470981,,427486,,388753,,395168,,319430,,291274,,295355,,306091,,335892,,278773,,314367,,289158,,240123,,170091,,112050,,64301,,32982,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1970,,Edf,C,5199000,85638,,364215,,475399,,436274,,387474,,404643,,322600,,292576,,289682,,301977,,322844,,284158,,313448,,288729,,243294,,173792,,115084,,63570,,33603,[=>],[85+],,[85+],,[85+],,-
,,,25 IV 1971,,Cdf,C,5228965,85965,,358350,,468410,,442070,,392280,,390445,,316440,,300570,,300830,,311255,,322810,,295780,,306305,,292995,,247245,,179265,,115210,,65560,,37170,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1971,,Edf,C,5217400,85788,,357642,,473180,,444853,,391539,,410848,,331691,,292606,,284739,,299130,,314978,,293406,,304253,,291476,,244684,,179730,,116568,,65242,,35047,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1972,,Edf,C,5210400,427500,[=>],[0-4],,464500,,447900,,400100,,373400,,339700,,298100,,296100,,306600,,312500,,305600,,293600,,291000,,248000,,185000,,117000,,65800,,38000,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1973,,Edf,C,5211700,74853,,337994,,459072,,452870,,407676,,366232,,349956,,298471,,295697,,303191,,310201,,316292,,279456,,290749,,252054,,190675,,119562,,67627,,39072,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1974,,Edf,C,5226400,70110,,325036,,452737,,459062,,417490,,370702,,361459,,304326,,297176,,299726,,307163,,326385,,265617,,288662,,255274,,195012,,122604,,67754,,40105,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1975,,Edf,C,5206200,67906,,307600,,441680,,462915,,423071,,368165,,368520,,305958,,296245,,295156,,304900,,314605,,272437,,287083,,256010,,197903,,126518,,68791,,40737,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1976,,Edf,C,5205100,66695,,291027,,435172,,461952,,430371,,375163,,376648,,312391,,294140,,292776,,301946,,308970,,280663,,279037,,256149,,200415,,130674,,69773,,41138,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1977,,Edf,C,5195600,61303,,276672,,422940,,460358,,438264,,384183,,362701,,336215,,293738,,291319,,299834,,303083,,289957,,269828,,255149,,202518,,133834,,72032,,41672,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1978,,Edf,C,5179400,62300,,262795,,407118,,454508,,443396,,392458,,357273,,347809,,295917,,292101,,296356,,299948,,299627,,255598,,253654,,204362,,138522,,73165,,42493,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1979,,Edf,C,5167000,65940,,255116,,387162,,447103,,448285,,400394,,356560,,355360,,299917,,292968,,292668,,296364,,308849,,242524,,251130,,206747,,141581,,75417,,42915,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1980,,Edf,C,5153300,67715,,253023,,368341,,436101,,452201,,408082,,357241,,362935,,301586,,292492,,288891,,294255,,297290,,249531,,249695,,207525,,143989,,78304,,44103,[=>],[85+],,[85+],,[85+],,-
,,,5 IV 1981,,Cdf,C,5035315,66080,,242283,,344408,,425158,,446605,,394312,,342229,,358727,,300298,,288128,,285652,,289611,,289756,,251274,,240803,,203530,,142488,,78344,,45629,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1981,,Edf,C,5149500,67097,,248006,,351866,,434266,,455886,,405484,,350073,,367097,,307247,,294664,,292041,,296068,,296243,,256858,,246088,,208055,,145680,,80106,,46675,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1982,,Edf,C,5166557,66522,,256334,,326391,,418438,,462607,,427511,,364449,,352044,,331022,,292326,,288488,,293102,,288589,,268183,,237533,,209814,,149586,,84412,,49206,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1983,,Edf,C,5150405,64843,,263180,,314389,,401761,,451955,,431070,,368937,,344540,,342630,,294611,,288996,,290191,,286313,,277968,,227058,,210408,,153113,,87577,,50865,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1984,,Edf,C,5145722,63596,,263744,,310646,,381946,,445221,,440560,,378191,,342369,,350124,,298136,,289753,,286987,,283606,,286219,,216149,,209976,,155272,,90942,,52285,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1985,,Edf,C,5136509,65266,,259672,,310598,,363547,,431940,,447314,,387727,,342721,,357896,,299524,,289966,,284346,,282540,,276267,,223134,,208742,,157146,,93146,,55017,[=>],[85+],,[85+],,[85+],,-
,,Male - Masculin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 VII 1948,,Edf,C,2534100,51300,,184900,,203800,,203000,,201000,,202000,,207900,,177800,,191800,,175500,,163700,,130600,,119400,,99800,,87200,,66400,,42400,,19200,,6400,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1949,,Edf,C,2538900,48600,,192100,,204300,,203700,,199100,,200200,,210200,,170900,,191400,,176500,,167400,,133400,,117600,,102000,,85400,,66000,,43400,,20100,,6600,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1950,,Edf,C,2503132,47077,,198108,,206212,,202509,,194303,,195437,,195030,,161990,,181930,,174681,,165621,,136209,,119886,,100625,,85784,,64567,,45358,,20274,,7531,[=>],[85+],,[85+],,[85+],,-
,,,8 IV 1951,,Cdf,C,2434358,45022,,195948,,202462,,195653,,173152,,172385,,187212,,166059,,177645,,179992,,168663,,141347,,115756,,97900,,83219,,65707,,41583,,17823,,6372,[=>],[85+],,[85+],,[85+],,458
,,,1 VII 1952,,Edf,C,2442027,43647,,186489,,217441,,193650,,177099,,160533,,177534,,176364,,168330,,181920,,171567,,149857,,117163,,101099,,83853,,67576,,42687,,18600,,6618,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1953,,Edf,C,2444296,44477,,179651,,225293,,196314,,172894,,167908,,179519,,181230,,160465,,179483,,170454,,153161,,117773,,99603,,82388,,64159,,43166,,19212,,7146,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1954,,Edf,C,2447035,45145,,176161,,229737,,197515,,172218,,164935,,178510,,187539,,151464,,177731,,172612,,156778,,120359,,100255,,81946,,63422,,43327,,20088,,7293,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1955,,Edf,C,2455319,45138,,175442,,233924,,197801,,174767,,162681,,178183,,181319,,156345,,176938,,172929,,158683,,124944,,101766,,80636,,62947,,42587,,20974,,7315,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1956,,Edf,C,2462695,46880,,175464,,236176,,199762,,174222,,161807,,176774,,177461,,161946,,171190,,173780,,159384,,131407,,101923,,80574,,62475,,42082,,21616,,7772,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1957,,Edf,C,2465190,47221,,178699,,224139,,213234,,175111,,159370,,173709,,173437,,167338,,163651,,174519,,159737,,136549,,102714,,81287,,62091,,42117,,22027,,8240,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1958,,Edf,C,2479849,48627,,181435,,218354,,219846,,180228,,161891,,173448,,171894,,174753,,154930,,173455,,161388,,141128,,103241,,81598,,61532,,41333,,22233,,8535,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1959,,Edf,C,2494531,49423,,185047,,215742,,224443,,185317,,163272,,172187,,171540,,181598,,146445,,171907,,163695,,144352,,105557,,81662,,60836,,40732,,22071,,8705,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1960,,Edf,C,2550555,49134,,189261,,214665,,228414,,192715,,185154,,176834,,174655,,178215,,153403,,172271,,164669,,146351,,109862,,83261,,59731,,40563,,21782,,9615,[=>],[85+],,[85+],,[85+],,-
,,,23 IV 1961,,Cdf,C,2482734,49934,,190169,,215066,,230086,,187391,,159353,,161043,,162756,,170487,,153229,,163851,,164303,,147280,,113158,,83438,,60216,,40216,,21713,,9045,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1961,,Edf,C,2528284,49115,,190444,,213798,,227787,,192378,,181598,,171357,,169146,,170855,,156976,,165257,,164653,,146276,,115171,,82564,,59420,,40106,,21300,,10083,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1962,,Edf,C,2494567,51098,,193224,,218345,,218172,,201621,,163539,,159158,,161514,,165056,,160349,,156477,,164327,,148550,,118142,,84305,,60341,,39460,,21483,,9406,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1963,,Edf,C,2499336,51152,,195710,,222411,,212183,,207732,,166871,,157871,,159315,,162221,,166018,,147954,,163110,,149196,,123121,,84363,,60580,,39130,,20953,,9445,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1964,,Edf,C,2499700,50502,,197473,,225893,,208318,,211062,,169712,,155596,,156711,,158881,,171702,,140193,,160549,,150822,,126181,,86096,,60399,,39086,,20878,,9646,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1965,,Edf,C,2497197,50776,,198889,,229714,,206211,,214331,,169016,,154689,,153497,,155849,,165344,,142812,,159112,,150388,,127936,,88740,,61106,,38242,,20800,,9745,[=>],[85+],,[85+],,[85+],,-
,,,24 IV 1966,,Sdf,C,2478750,49060,,195330,,227430,,211320,,213370,,160650,,150390,,151090,,156310,,161600,,145460,,155620,,150200,,128760,,91980,,62000,,37880,,20990,,9310,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1966,,Edf,C,2489900,47900,,199900,,232600,,206900,,215600,,171900,,152100,,147800,,152200,,160500,,146400,,154300,,151300,,128900,,92300,,61100,,38100,,20400,,9700,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1967,,Edf,C,2488700,48606,,393432,,236674,,209954,,204421,,185295,,151951,,143788,,149512,,155073,,151315,,147536,,151193,,129954,,95772,,62095,,38377,,20429,,10039,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1968,,Edf,C,2489400,46900,,194500,,239400,,214300,,199400,,192200,,154200,,142300,,146900,,151900,,156300,,138800,,150100,,130800,,100200,,62000,,38700,,20400,,10100,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1969,,Edf,C,2493875,46683,,191041,,241259,,218879,,196962,,196945,,158476,,141624,,144143,,148866,,161710,,131137,,148045,,132646,,103020,,63390,,38507,,20507,,10035,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1970,,Edf,C,2496975,44035,,187244,,243564,,223558,,196455,,202294,,159958,,143067,,141432,,146719,,155851,,134015,,146902,,132474,,105000,,65356,,39146,,19919,,9986,[=>],[85+],,[85+],,[85+],,-
,,,25 IV 1971,,Cdf,C,2514620,44185,,184295,,240105,,226535,,199410,,196625,,158300,,148140,,147435,,151360,,156960,,139610,,143175,,133705,,106625,,67870,,39360,,20495,,10415,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1971,,Edf,C,2507967,44111,,183989,,242999,,227759,,198482,,205835,,164999,,143915,,139026,,145405,,152658,,138552,,142340,,133859,,106204,,68321,,39195,,20182,,10136,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1972,,Edf,C,2504300,219000,[=>],[0-4],,237700,,229400,,203300,,187700,,170500,,147300,,144800,,149300,,152100,,144800,,136900,,133000,,107000,,71000,,39000,,20500,,11000,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1973,,Edf,C,2504118,38546,,173647,,235270,,232159,,207289,,183726,,175774,,147814,,144782,,147824,,150776,,150481,,129703,,132619,,108871,,73977,,39759,,20615,,10486,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1974,,Edf,C,2512659,36108,,166886,,232334,,235016,,212237,,186313,,182135,,151208,,145794,,146337,,149289,,156269,,123004,,131290,,110626,,76303,,40652,,20361,,10497,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1975,,Edf,C,2503877,34708,,158178,,227127,,237103,,215686,,185175,,185619,,152697,,145480,,144420,,147850,,151088,,126488,,130421,,111063,,77858,,42094,,20347,,10475,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1976,,Edf,C,2503566,34336,,149443,,223628,,236655,,219381,,189096,,189395,,156671,,144584,,143325,,146341,,148958,,130478,,126676,,111131,,79221,,43688,,20147,,10412,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1977,,Edf,C,2500702,31666,,142180,,217226,,236038,,223615,,194487,,182157,,169278,,144953,,142681,,145619,,146043,,135320,,122269,,110784,,80377,,45169,,20552,,10288,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1978,,Edf,C,2494437,31777,,135130,,209237,,233179,,226260,,199666,,179598,,175489,,146271,,143402,,144103,,144574,,140368,,115421,,110330,,81460,,47353,,20512,,10307,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1979,,Edf,C,2489461,34017,,130896,,198916,,229718,,228550,,204075,,179286,,179560,,148894,,143839,,142423,,142797,,145633,,109257,,109000,,82716,,48707,,21123,,10054,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1980,,Edf,C,2480340,34672,,129838,,188646,,224037,,229984,,207770,,179507,,182980,,150122,,143599,,140815,,141473,,140551,,112921,,108432,,83146,,49837,,21894,,10116,[=>],[85+],,[85+],,[85+],,-
,,,5 IV 1981,,Cdf,C,2428472,33827,,124461,,176331,,218162,,227765,,199755,,172216,,180453,,149502,,141274,,139458,,139552,,138444,,114442,,105683,,83201,,50910,,22547,,10489,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1981,,Edf,C,2484796,34511,,127195,,180138,,222754,,232896,,205490,,176306,,184838,,153222,,144542,,142668,,142770,,141587,,116989,,107991,,85049,,52056,,23064,,10730,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1982,,Edf,C,2486610,33941,,131014,,166960,,213399,,235319,,216412,,183807,,177123,,165739,,143942,,140639,,141181,,137378,,122146,,103302,,85391,,53392,,24506,,11019,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1983,,Edf,C,2485047,33324,,135102,,161307,,205787,,231203,,220078,,186630,,173330,,171613,,145073,,141163,,139711,,136495,,127199,,98547,,86101,,55204,,25858,,11322,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1984,,Edf,C,2483523,32602,,135182,,159527,,195533,,227984,,225050,,191489,,172100,,175449,,147265,,141480,,138557,,135064,,131684,,93643,,85965,,56279,,27071,,11599,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1985,,Edf,C,2480455,33275,,133155,,159552,,186075,,220871,,228829,,196996,,172140,,179526,,148532,,141620,,137635,,134278,,127873,,97071,,85401,,57224,,28169,,12233,[=>],[85+],,[85+],,[85+],,-
,,Female - Féminin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
